git commit --amend 的用途是什么？企业常见使用场景？;"用途：<b>修改上一次的提交</b>（包括 message 和暂存的文件）。<br><br>常见场景：<br>① commit message 写错了 → <code>git commit --amend -m ""新说明""</code><br>② 上次 commit 漏了文件 → <code>git add 漏掉的文件</code> 然后 <code>git commit --amend --no-edit</code><br><br>⚠️ 只对<b>还没 push</b> 的提交使用，已 push 的不要 amend。";Git-命令实战
git restore 和 git restore --staged 的区别是什么？;<b>git restore 文件名</b>：撤销<b>工作区</b>的修改，恢复到上次提交的状态。<br>→ 你的改动<b>永久丢失</b>！<br><br><b>git restore --staged 文件名</b>：把文件从<b>暂存区</b>移回工作区（撤回 git add）。<br>→ 你的改动<b>还在</b>，只是取消暂存。<br><br>记忆口诀：不带参数丢改动，带 --staged 保改动。;Git-命令实战
git diff 和 git diff --staged 分别查看的是什么差异？;<b>git diff</b>：工作区 vs 暂存区的差异 → 看你改了但<b>还没 add</b> 的内容<br><br><b>git diff --staged</b>（或 --cached）：暂存区 vs 上次提交的差异 → 看你 add 了但<b>还没 commit</b> 的内容<br><br>企业场景：提交前用 <code>git diff --staged</code> 做「最后一道检查」。;Git-命令实战
企业里查看 git log 最常用的命令是什么？如何查看某个文件的修改历史？;"<b>精简模式（最常用）</b>：<code>git log --oneline</code><br><br><b>查看某个文件的修改历史</b>：<code>git log --oneline -- src/cart.js</code><br><br>其他常用参数：<br>• <code>-5</code>：只看最近5条<br>• <code>--author=""Name""</code>：看某人的提交<br>• <code>--graph --all</code>：可视化分支合并关系";Git-命令实战
SSH 密钥配置的完整流程是什么？（4步）;"① 生成密钥对：<code>ssh-keygen -t ed25519 -C ""邮箱""</code><br>② 复制公钥：<code>cat ~/.ssh/id_ed25519.pub</code><br>③ 在 GitHub/GitLab/Gitee 设置页添加公钥<br>④ 测试连接：<code>ssh -T git@github.com</code><br><br>⚠️ 私钥文件绝对不能分享给任何人、不能提交到 Git 仓库！";Git-命令实战
git clone 的浅克隆参数是什么？什么场景下使用？;<code>git clone --depth 1 仓库地址</code><br><br>只克隆<b>最近 1 次提交</b>的历史，不下载完整历史。适用于：<br>• 项目历史非常长，完整 clone 太慢<br>• CI/CD 构建时只需要最新代码<br>• 只需要看一眼代码不需要历史记录;Git-命令实战
git push -u 的 -u 参数是什么意思？什么时候需要用？;<b>-u</b> = <code>--set-upstream</code>，作用是把<b>本地分支和远程分支建立关联</b>。<br><br><b>只在第一次推送新分支时需要</b>：<br><code>git push -u origin feature/cart</code><br><br>建立关联后，以后在这个分支上直接 <code>git push</code> 就行了，不需要再写 origin 和分支名。;Git-命令实战
git fetch 和 git pull 的核心区别是什么？;<b>git pull</b> = git fetch + git merge<br>→ 下载远程更新并<b>自动合并</b>到你的工作区<br><br><b>git fetch</b> = 只下载，不合并<br>→ 下载到一个临时区域，不影响你的工作区代码<br><br><b>企业场景</b>：想先 review 远程有什么变化再决定是否合并时，用 fetch；确定要合并时，用 pull。;Git-命令实战
企业里 git branch -d 和 git branch -D 的区别是什么？;<b>-d</b>（小写）= 安全删除。如果分支<b>还没合并</b>，Git 会报错阻止你，防止代码丢失。<br><br><b>-D</b>（大写）= 强制删除。即使分支<b>没合并也直接删掉</b>，改动永久丢失！<br><br>⚠️ 企业中只用 <code>-d</code>，几乎不用 <code>-D</code>。;Git-命令实战
git switch -c 的作用是什么？它等价于哪两个命令的组合？;<b>作用</b>：创建新分支并立即切换过去（一步到位）。<br><br><code>git switch -c feature/cart</code><br>等价于：<br><code>git branch feature/cart</code> + <code>git switch feature/cart</code><br><br>这是企业中创建功能分支最高效的写法。;Git-命令实战
git merge --no-ff 的 --no-ff 参数有什么作用？为什么企业推荐使用？;<b>--no-ff</b> = no fast-forward，<b>强制创建一个合并提交节点</b>。<br><br>不加时：如果目标分支没有新提交，Git 做「快进合并」，直接移指针，看不出曾经有过分支。<br>加了后：保留分支合并的痕迹，方便以后追溯「这个功能是从哪个分支合过来的」。<br><br>企业推荐加 --no-ff，因为可追溯性更重要。;Git-命令实战
创建附注标签（annotated tag）的命令是什么？和轻量标签有什么区别？;"<b>附注标签（企业推荐）</b>：<br><code>git tag -a v1.0.0 -m ""Release v1.0.0: 首个正式版本""</code><br><br><b>轻量标签</b>：<code>git tag v1.0.0</code><br><br>附注标签包含：作者、日期、说明信息，是一个完整的 Git 对象。<br>轻量标签只是一个简单指针，没有附加信息。<br><br>企业上线打 tag 必须用附注标签，方便追溯版本信息。";Git-命令实战
git stash 的使用场景和完整操作流程是什么？;<b>场景</b>：正在开发功能（代码没写完不想 commit），需要紧急切分支修 Bug。<br><br><b>流程</b>：<br>① <code>git stash</code> — 暂存当前改动，工作区恢复干净<br>② 切到 hotfix 分支修 Bug、提交<br>③ 切回原来的分支<br>④ <code>git stash pop</code> — 恢复之前暂存的改动，继续开发;Git-命令实战
企业开发中，main/master 分支的定位是什么？谁有权限推送？;<b>定位</b>：生产环境代码，始终保持<b>可上线的稳定状态</b>。<br><br><b>权限</b>：只有 Tech Lead / 运维通过 <b>MR/PR 合并</b>，<br>🚨 <b>绝对禁止</b>开发者直接 push 到 main 分支！<br><br>通常需要在 GitLab/GitHub 上设置「分支保护规则」从系统层面禁止。;Git-企业规范
企业标准分支规范中，5 种分支（main/dev/feature/hotfix/release）分别是什么用途？;<b>main</b> = 生产环境代码，稳定可上线<br><b>dev</b> = 开发主分支，日常开发合并到这里<br><b>feature/xxx</b> = 功能分支，从 dev 创建，开发完合并回 dev<br><b>hotfix/xxx</b> = 紧急修复分支，从 main 创建，修完合并回 main + dev<br><b>release/x.x</b> = 上线准备分支，从 dev 创建，做上线前最后测试;Git-企业规范
🚨 企业红线：git push --force 为什么是「开除级操作」？什么场景下允许用？;<b>危险原因</b>：会用你本地的代码<b>直接覆盖远程仓库</b>，同事 push 的代码会被抹掉！<br><br>🚨 <b>绝对禁止</b>在 main/master/dev 等公共分支上使用。<br><br><b>唯一允许场景</b>：<br>• 你个人的 feature 分支（只有你在用）<br>• rebase 后需要更新远程分支<br>• 且推荐使用 <code>git push --force-with-lease</code>（更安全，会检查远程是否有你不知道的更新）;Git-企业规范
🚨 企业红线：为什么禁止在公共分支上使用 git reset？;<b>git reset</b> 会把提交历史往回倒退，被撤销的提交从记录中消失。<br><br>如果对已 push 的 dev/main 执行 reset：<br>• 本地和远程历史不一致<br>• 其他同事基于远程代码继续开发会产生严重冲突<br>• 如果用 reset --hard + push --force，直接覆盖同事代码<br><br>✅ <b>线上回滚必须用 git revert</b>，不用 git reset。;Git-企业规范
不小心把敏感信息（如数据库密码）push 到了远程仓库，应该怎么处理？（4步）;① <code>git rm --cached .env</code> 从 Git 跟踪移除 + 加入 .gitignore + push<br>② <b>立刻更改泄露的密码/密钥</b>（最关键！因为 Git 历史中仍能看到旧密码）<br>③ 如需彻底清除历史，用 BFG Repo-Cleaner 工具重写历史<br>④ 通知安全团队评估影响范围<br><br>⚠️ 单纯 revert 不够，因为历史提交中密码仍然可见。;Git-企业规范
如果 .gitignore 文件对已被 Git 跟踪的文件不生效，应该怎么处理？;<b>原因</b>：.gitignore 只能忽略<b>还没被 Git 跟踪</b>的文件。<br>已经 commit 过的文件，加到 .gitignore 里是无效的。<br><br><b>解决方法</b>：<br><code>git rm --cached 文件名</code> ← 从 Git 跟踪中移除（不删本地文件）<br>然后把文件名加到 .gitignore<br>最后 commit + push;Git-企业规范
.gitignore 企业标准模板中，必须忽略的文件类型有哪些？（6大类）;① <b>操作系统文件</b>：.DS_Store、Thumbs.db<br>② <b>编辑器配置</b>：.idea/、.vscode/<br>③ <b>依赖目录</b>：node_modules/、vendor/（太大且有安全风险）<br>④ <b>编译输出</b>：dist/、build/、target/<br>⑤ <b>日志文件</b>：*.log、logs/<br>⑥ <b>敏感配置</b>：.env、*.key、*.pem、database.yml（🚨 最重要！）;Git-企业规范
企业里 MR/PR 代码评审流程的关键要点有哪些？;① 源分支选 feature，目标分支选 dev<br>② MR 标题和描述要写清楚：改了什么、怎么测试、有无风险点<br>③ 指定 Code Reviewer（通常是 Tech Lead 或同事）<br>④ 评审人提出修改意见 → 你修改后再 push → 评审人再次审核<br>⑤ <b>没有经过评审的代码不允许合并到公共分支</b><br><br>MR 不仅检查代码质量，也是团队知识共享的方式。;Git-企业规范
企业多人协作中，关于「推送频率」和「冲突预防」的最佳实践是什么？;<b>推送频率</b>：每天至少 push 一次代码到远程。<br>→ 防止电脑故障导致代码全部丢失（只在本地 commit 不 push 是危险的）。<br><br><b>冲突预防</b>：每天至少 pull 一次 dev 分支同步最新代码。<br>→ 减少最终合并时的冲突堆积。<br><br><b>开发前</b>：在群里告知团队你要动哪个模块，避免撞车。;Git-企业规范
企业 hotfix 紧急修复的完整 Git 操作流程是什么？;① <code>git switch main && git pull origin main</code><br>② <code>git switch -c hotfix/xxx</code> 创建 hotfix 分支<br>③ 修复 Bug → add → commit（<code>fix: 修复xxx问题</code>）<br>④ <code>git switch main</code> → merge hotfix → push → <b>打 patch 版本 tag</b><br>⑤ <code>git switch dev</code> → merge hotfix → push（同步修复到 dev）<br>⑥ 删除 hotfix 分支（本地+远程）;Git-企业规范
企业上线 Git 操作有哪些禁忌？（至少列举4个）;① 禁止周五下午5点后上线（出问题周末加班，人员不齐）<br>② 禁止未经测试直接合并到 main<br>③ 禁止一次上线合并太多功能（出问题难定位）<br>④ 禁止没有回滚预案就上线<br>⑤ 禁止上线后不更新版本号/tag<br>⑥ 禁止上线后不观察日志;Git-企业规范
git reset 三种模式（--soft / --mixed / --hard）的核心区别是什么？;<table><tr><th>模式</th><th>commit记录</th><th>暂存区</th><th>工作区</th></tr><tr><td><b>--soft</b></td><td>❌撤销</td><td>✅保留</td><td>✅保留</td></tr><tr><td><b>--mixed</b>(默认)</td><td>❌撤销</td><td>❌移出</td><td>✅保留</td></tr><tr><td><b>--hard</b></td><td>❌撤销</td><td>❌清除</td><td>❌清除</td></tr></table><br>🚨 <b>--hard 改动永久丢失</b>，只能用于本地未 push 的提交！;Git-对比排错
git reset 和 git revert 的核心区别是什么？分别适用于什么场景？;<b>git reset</b>：把历史<b>往回倒退</b>，被撤销的提交从记录中消失（改写历史）。<br>→ 适用于：<b>本地还没 push</b> 的提交搞砸了<br><br><b>git revert</b>：在历史末尾<b>追加一个反向提交</b>来抵消（保留历史）。<br>→ 适用于：<b>已经 push 到远程</b>的提交要撤销<br><br>🚨 企业铁律：线上回滚<b>必须用 revert</b>，绝不用 reset！;Git-对比排错
git merge 和 git rebase 的区别和企业选型建议？;<b>merge</b>：保留分支分叉记录，不改写历史，产生合并提交节点。<br>→ 适用于：合并功能分支到 dev/main 等<b>公共分支</b><br><br><b>rebase</b>：把提交「平移」到目标分支最新位置后面，历史变直线，但<b>改写 commit hash</b>。<br>→ 适用于：在个人 feature 分支上同步 dev 最新代码<br><br>🚨 绝对禁止对已 push 的公共分支执行 rebase！;Git-对比排错
git checkout 和 git switch 有什么区别？推荐用哪个？;<b>git checkout</b>：老命令，既能切换分支又能恢复文件，功能混杂容易误操作。<br><br><b>git switch</b>：Git 2.23 引入的新命令，<b>专门用于切换分支</b>，更安全清晰。<br>• <code>git switch 分支名</code> = 切换分支<br>• <code>git switch -c 分支名</code> = 创建并切换<br><br>新项目推荐用 switch，但 checkout 也要会（很多同事还在用）。;Git-对比排错
push 时报错「rejected (fetch first)」是什么原因？怎么解决？;<b>原因</b>：远程分支有你本地没有的新提交，Git 拒绝推送防止覆盖别人代码。<br><br><b>解决三步</b>：<br>① <code>git pull --rebase origin dev</code> 拉取最新代码<br>② 如果有冲突 → 解决冲突 → <code>git add</code> → <code>git rebase --continue</code><br>③ <code>git push origin dev</code> 重新推送;Git-对比排错
不小心用 push --force 覆盖了同事的代码，怎么补救？;① <b>立刻通知同事</b>（最重要，别瞒着！）<br>② <code>git reflog</code> 找到同事被覆盖的 commit hash<br>③ <code>git cherry-pick 同事的hash</code> 把同事的提交摘回来<br>④ <code>git push origin dev</code> 推送修正后的代码<br>⑤ 向团队道歉<br><br><b>git reflog</b> 是救命稻草：记录每一次操作（包括 reset/rebase），即使丢了代码也能找回 hash。;Git-对比排错
rebase 操作搞乱了代码怎么办？（分两种情况）;<b>情况一：rebase 还没完成</b><br><code>git rebase --abort</code> — 直接放弃，恢复到 rebase 之前<br><br><b>情况二：rebase 已完成但结果不对</b><br>① <code>git reflog</code> 找到 rebase 前的 commit hash<br>② <code>git reset --hard HEAD@{n}</code> 回到 rebase 前的状态<br>③ 重新仔细执行 rebase;Git-对比排错
多仓库 SSH 密钥冲突（如公司 GitLab + 个人 GitHub）怎么解决？;"在 <code>~/.ssh/config</code> 文件中配置多主机映射：<br><br><code>Host gitlab.company.com</code><br>&nbsp;&nbsp;<code>IdentityFile ~/.ssh/id_ed25519_company</code><br><br><code>Host github.com</code><br>&nbsp;&nbsp;<code>IdentityFile ~/.ssh/id_ed25519_personal</code><br><br>这样连不同主机时自动用不同的密钥。";Git-对比排错
公司远程仓库地址变了，本地 push/pull 报错，怎么修复？;① 查看当前地址：<code>git remote -v</code><br>② 修改为新地址：<br><code>git remote set-url origin git@new-server.com:company/project.git</code><br>③ 验证修改：<code>git remote -v</code><br>④ 测试连接：<code>git pull origin dev</code>;Git-对比排错
企业版本号规范（SemVer 语义化版本）中，v2.1.3 各部分代表什么？;<b>v 主版本 . 次版本 . 修订号</b><br><br><b>主版本（2）</b>：不兼容的 API 变更（大改）<br><b>次版本（1）</b>：新增功能（向下兼容）<br><b>修订号（3）</b>：Bug 修复（向下兼容）<br><br>示例：v2.1.3 = 第 2 大版的第 1 个新功能，修了 3 个 Bug;Git-企业规范
企业里 git cherry-pick 的典型使用场景是什么？;<b>场景</b>：dev 分支有很多提交，其中<b>只有某一个提交</b>修了紧急 Bug 需要立刻上线到 main，但 dev 的其他功能还没测完不能合并。<br><br><b>操作</b>：<br><code>git switch main</code><br><code>git cherry-pick 修复的commit_hash</code><br><code>git push origin main</code><br><br>精准摘取一颗「樱桃」，不需要合并整个分支。;Git-命令实战
完整的「从需求到上线」企业 Git 工作流包含哪几步？;① pull dev 最新代码<br>② switch -c feature/xxx 创建功能分支<br>③ 开发，频繁小步 add + commit + push<br>④ 每天 pull dev 同步，解决冲突<br>⑤ 提交 MR/PR → Code Review 评审<br>⑥ 评审通过 → merge 到 dev → 测试<br>⑦ 测试通过 → merge 到 main → 打 tag → 部署<br>⑧ 线上 Bug → hotfix 分支修复 → 合并回 main + dev;Git-企业规范
HTTPS 和 SSH 连接远程仓库的区别是什么？企业推荐用哪种？;<b>HTTPS</b>：<code>https://github.com/user/repo.git</code><br>→ 每次操作需要输密码/Token，适合临时使用<br><br><b>SSH</b>：<code>git@github.com:user/repo.git</code><br>→ 配置一次密钥后永久免密，<b>企业日常开发标配</b><br><br>企业推荐 SSH，因为每天 push/pull 几十次，免密效率更高。;Git-命令实战
